サロン名,〒,都道府県,市,詳細住所,tel,サロンHP,黒髪OPIキャンペーン購入
Va7,107-0061,東京都,港区,北青山3−10−25−3F,03-6427-7172,https://beauty.hotpepper.jp/slnH000316028/?vos=evhpbpy0003&utm_source=yahoo&utm_medium=cpc&utm_campaign=%e7%be%8e%e5%ae%b9_%e3%82%b5%e3%83%ad%e3%83%b3_DSA&utm_term=,
TIECHEL,107-0061,東京都,港区,北青山3丁目10−18 北青山本田ビル,03-5468-8232,https://www.tiechel.com/,
Liko by MARIS,107-0062,東京都,港区,南青山3−13−22善光堂ビルB1F,03-3402-7880,http://maris-hair.com/,無
VIE,107-0062,東京都,港区,"南青山5-9-10 サンク青山7,8F",03-6805-1313,http://vie2018.jp/,無
Dot+Lim,107-0062,東京都,港区,南青山3-18-7 日本塩回送ビルB1,03-5770-6090,https://www.lessismore.co.jp/dot,
キングダム青山,107-0062,東京都,港区,南青山5-6-24 バルビゾン23 B1F,03-6418-6111,http://www.kingdom-hair.com/index.html,
Trois Epis,107-0062,東京都,港区,南青山4-21-26 RUELLE青山B棟3F,03-6804-6440,http://troisepis.jp/,
sheta,107-0062,東京都,港区,南青山3-18-11 ヴァンセットビル5F,03-3475-7766,http://www.shetahair.jp,
ANTI,107-0062,東京都,港区,南青山6-1-3コレッツィオーネ2F,03-5778-7111,http://www.anti-world.jp,
Violet,107-0062,東京都,港区,南青山5-10-1 H2 AOYAMA BLDG.3F,03-5778-96-46,http://www.violet.tokyo,
mod's hair 青山,107-0062,東京都,港区,南青山3-15-9 MINOWA表参道 2F,03-3478-0131,http://modshair.co.jp/salon/,
EIZO,107-0062,東京都,港区南青山３−１４−１５ カワマタビル１F,,03-5772-4010,http://eizo-salon.com/,
DIFINO-aoyama (ディフィーノアオヤマ),107-0062,東京都,港区,南青山5-4-41グラッセリア青山2階,03-5468-3361,http://difino.com/,
AFLOAT D'L,107-0062,東京都,港区,南青山5-6-26 青山246ビル 4F,03-5778-0386,https://www.afloat.co.jp/,
BEAUTRIUM南青山,107-0062,東京都,港区,南青山5-3-5 ミルロッシュビル2F,03 (5485) 2771,http://beautrium.com/,
OASIS南青山,107-0062,東京都,港区,南青山4-1-15 アルテカベルテプラザ201,03-3796-3885,http://oasis-hair.com/,
Double Sons,107-0062,東京都,港区,南青山5-11-2 SANWA南青山Bldg 2F,03-6450-6408,http://www.hearts-hair.jp/Double/index.html,
comomavi,107-0062,東京都,港区,南青山3-18−19 東亜バッヂビル 6F,03-6434-9939,http://www.comomavi.com/,
BLANCO青山,107-0062,東京都,港区,南青山5丁目11−24 グレイセス1F,03-5468-0033,http://www.blanco.co.jp/salon/aoyama/,
BLANCO表参道,107-0062,東京都,港区,南青山3-17-15 南青山三丁目ビル2F,03-6434-0971,http://www.blanco.co.jp/salon/omotesando/,
NORA HAIR SALON,107-0062,東京都,港区,南青山5-3-10FROM-1st BF,03-6419-9933,http://www.nora-style.com/nora/,
MAISON de IGGY,107-0062,東京都,港区,南青山3-8-2 青山OGビル2F,03-6459-2067 ,http://iggy-hair.jp/,
ICY,107-0062,東京都,港区,南青山５-14-3 青山ライズビル3F,03-6427-3922 ,https://beauty.hotpepper.jp/slnH000356763/,
anan田町店,108-0014,東京都,港区,芝5-31-10サンシャインビル3F,03-3454-6298,http://www.anan-glam.com/,
anan三田店,108-0014,東京都,港区,芝5-29-25ピノキオビル1F,03-3451-5996,http://www.anan-glam.com/,
GLAM芝浦店,108-0023,東京都,港区,芝浦3-12-5石阪ビル1F,03-3456-0523,http://www.anan-glam.com/,
Cloe目黒,108-0071,東京都,港区,港区白金台3-18-12-2F,03-6277-1965,https://beauty.hotpepper.jp/bsln00192/,
vi-ta sirokane salto,108-0072,東京都,港区,白金1-28-9 シミズビル3F,03-3444-5670,https://beauty.hotpepper.jp/slnH000471830/,
vi-ta 白金店,108-0072,東京都,港区,白金1-25-13 C.S.Hビル2F,03-5423-1230,http://www.vi-ta.com/shoplist/shirokane/,
GLAM白金店,108-0072,東京都,港区,白金1-17-2 2F,03-3446-0716,http://www.anan-glam.com/,
vi-ta 魚ラン坂店,108-0073,東京都,港区,三田5-20-10 MKCビル1&2F,03-5449-4560,http://www.vi-ta.com/shoplist/gyoranzaka/,
i+me,108-0074,東京都,港区,高輪2-16-49レザミ高輪ビル1F,03-5422-9411,http://i.di-gp.com/,
i+me hair design,108-0074,東京都,港区,高輪２丁目１６−４９ レザミ高輪ビル Ｂ１,03-5422-9411,,
totosa caming(トトサカミング),110-0004,東京都,台東区,下谷2-15-1,03-3875-4087,www.grace-g.jp,
Oasis 上野店,110-0005,東京都,台東区,上野2-14-30 上野山下ビル3F,03-6803-0354,https://beauty.hotpepper.jp/bsln00167/svcSA/,
Alushe上野店,110-0005,東京都,台東区,上野6-7-18 2F,03-6803-0987,http://alushe.tokyo/,
ＪＯＳ,110-0005,東京都,台東区,上野４丁目２−１ ジーンズメイト御徒町店 7階,03-6240-1555,https://beauty.hotpepper.jp/slnH000461875/,
BONITA fragrance,110-0005,東京都,台東区,上野６丁目５−１ 羽山ビル 3F,03-5826-4656,,
TOTOSA　Rutia（トトサ　ルティア）,110-0014,東京都,台東区,北上野2-31-6-2F,03-5828-5665,www.grace-g.jp,
agir hair 上野店,110-0015,東京都,台東区,東上野2-18-1上野郡山ビル3F,03-5846-8776,https://www.prize-hair.com/,
WILL piccy(ウィルピクシー),111-0052,東京都,台東区,柳橋1-13-4 4F,03-3295-2094,www.roworl.ne.jp,
Viii上野店,113-0034,東京都,文京区,湯島3-38-10 ドン・キホーテ上野店5F,03-5826-8350,http://viii.salon/ueno/,有
Riganuts 王子店,114-0002,東京都,北区,王子1-19-1 秀喜ビル2F,03-6903-0840,https://riganuts.com,
wisp ZINNIA(ウィスプジーニア),114-0002,東京都,北区,王子3-13-13 山城ビル1F,03-3911-1345,www.oji-hair.com,
ヘアステージインパークス王子店(ヘアステージインパークスオウジテン),114-0002,東京都,北区,王子1-10-13 旺栄ビル5F,03-3927-6662,www.ellebe.co.jp,
ヘアステージインパークス駒込店(ヘアステージインパークスコマゴメテン),114-0015,東京都,北区,中里2-5-8 ヴェルミドール駒込202,03-5907-3130,www.ellebe.co.jp,
Oasis 赤羽店,115-0045,東京都,北区,赤羽1-8-3センチュリーパーク7F,03-5249-3434,https://beauty.hotpepper.jp/bsln00191/svcSA/,
Riganuts 赤羽店,115-0045,東京都,北区,赤羽2-42-3,03-6454-4292,https://riganuts.com,
Blume COSTA,115-0045,東京都,北区,赤羽2-23-1 シェルブルー 1F,03-3903-1335,http://www.blume.jp,
wisp apt(ウィスプアプト),115-0045,東京都,北区,赤羽2-49-9 1･2F,03-3903-1210,www.wisp-hair.com,
hair salon face 赤羽NEO,115-0045,東京都,北区,赤羽２丁目１４−３－２F,03-3903-3975,https://toshix.jp/face-akabane-neo/,
wisp apt WEST(ウィスプアプトウエスト),115-0055,東京都,北区,赤羽西1-30-3 サイトウビル1F,03-3905-6888,www.wisp-hair.com,
ヘアステージインパークス町屋店(ヘアステージインパークスマチヤテン),116-0001,東京都,荒川区,町屋1-7-4 桜庭ビル1F,03-3892-8133,www.ellebe.co.jp,
アンク・クロス 町屋店,116-0002,東京都,荒川区,荒川7-12-9 1F,03-5850-5020,https://www.ankhcross.co.jp/,
エルザアネックス町屋店,116-0002,東京都,荒川区,荒川７丁目２２−６ フロンティアワン2F,03-3802-2663 ,http://ayase.eruza-group.com/,
TOTOSA　Festa'（トトサ　フェスタ）,116-0003,東京都,荒川区,南千住1-13-22-2F,03-3806-7602,www.grace-g.jp,
LUFT HAIR南千住店,116-0003,東京都,荒川区,南千住４丁目７−１,03-3803-1601,http://ayase.eruza-group.com/,
ヘアステージインパークス西日暮里店(ヘアステージインパークスニシニッポリテン),116-0013,東京都,荒川区,西日暮里5-14-12 第二池田ビル3F,03-3806-4943,www.ellebe.co.jp,
日暮里Ash,116-0013,東京都,荒川区,西日暮里2-22-3ステーションプラザタワー･アネックスウエスト1F,03-5615-1080,https://ash-hair.com/,
ヘアステージインパークス綾瀬店(ヘアステージインパークスアヤセテン),120-0005,東京都,足立区,綾瀬2-24-1 ロイヤル綾瀬1F,03-3604-9975,www.ellebe.co.jp,
ERUZA HAIR,120-0005,東京都,足立区,綾瀬２丁目２３−３,0120-413-788,http://ayase.eruza-group.com/,
LUFT HAIR綾瀬店,120-0005,東京都,足立区,綾瀬４丁目９−２１,03-3606-7421,http://ayase.eruza-group.com/,
ヘアステージインパークス五反野店(ヘアステージインパークスゴタンノテン),120-0014,東京都,足立区,西綾瀬2-23-21,03-6806-4412,www.ellebe.co.jp,
grandage北千住,120-0026,東京都,足立区,千住旭町34−15 ハイツアネックス1F,03-3882-7122,,無
Noel,120-0026,東京都,足立区,千住旭町44-10,03-3870-8676,http://www.noel-room.com/,
ヘアステージインパークス北千住店(ヘアステージインパークスキタセンジュテン),120-0026,東京都,足立区,千住旭町40-28 UPPER EAST SIDE 6F,03-5813-5654,www.ellebe.co.jp,
jewel hair　,120-0026,東京都,足立区,千住旭町24-9,03-3882-8830,http://jewel-hair.jp/shop.html,
北千住Ash,120-0034,東京都,足立区,千住3丁目1番地 ベニヤ第一ビル1F,03-5244-1222,https://ash-hair.com/,
"ar 北千住
",120-0034,東京都,足立区,千住1-20-9 TYビル1F,03-3882-7977,http://www.ateliermai.or.tv/,
アトリエマイ北千住,120-0034,東京都,足立区,千住1-19-8 今井ビル1F,03-5813-5355,http://www.ateliermai.or.tv/,
SHINY(シャイニー)千住大橋,120-0038,東京都,東京都足立区千住橋戸町1-13 ポンテポルタ千住2F,,03-6806-2600,https://the-kid.co.jp,
Veloce,121-0064,東京都,足立区,保木間1-37-16,03-3883-0605,http://spanky-f.com/,
ROSSO Hair&spa六町店,121-0073,東京都,足立区,六町3丁目5-351F,03-5856-7720,http://rosso0310.com/,
ドレッシング 六町店,121-0073,東京都,足立区,六町3-2-6,03-3883-6213,http://dressing6.com,
RIZE HAIR DESIGN,121-0813,東京都,足立区,竹ノ塚6-15-14 ニュー竹ノ塚ビル301,03-5856-4430,,
ヘアステージインパークス竹ノ塚店(ヘアステージインパークスタケノヅカテン),121-0813,東京都,足立区,竹ノ塚6-3-12 宮田ビル1F,03-3884-8270,www.ellebe.co.jp,
ヘアステージインパークス西新井東口店(ヘアステージインパークスニシアライヒガシグチテン),121-0816,東京都,足立区,梅島3-33-2 クレール西新井1F,03-3886-3354,www.ellebe.co.jp,
HAIR MAKE SPANKY,121-0822,東京都,足立区,西竹ノ塚2-1-21 2F,03-5691-8068,http://spanky-f.com/,
アトリエマイ西新井東口,123-0842,東京都,足立区,西栗原1-6-20,03-3850-8553,http://www.ateliermai.or.tv/,
ヘアステージインパークス西新井西口店(ヘアステージインパークスニシアライニシグチテン),123-0843,東京都,足立区,西新井栄町2-3-13 中里ビル2F,03-5845-3391,www.ellebe.co.jp,
クレドガーデン西新井,123-0843,東京都,足立区,西新井栄町2-4-5,03-3880-6776,http://www.ateliermai.or.tv/,
ル・ララ・ドゥ,123-0843,東京都,足立区,西新井栄町1-18-33,03-5888-7333,http://www.ateliermai.or.tv/,
ル・パラディ,123-0851,東京都,足立区,梅田7-36-3,03-5681-7447,http://www.ateliermai.or.tv/,
Stilla an(スティラアン),124-0024,東京都,葛飾区,新小岩1-48-3 関ビル2F,03-3655-7248,www.roworl.ne.jp,
A's Hair,124-0024,東京都,葛飾区,新小岩1-55-2-1F,0573-67-7506,http://agu-hair.luna.weblife.me/pg97.html,
WILL core(ウィルコア),124-0025,東京都,葛飾区,西新小岩1-8-10,03-3696-0490,www.roworl.ne.jp,
cluster,130-0002,東京都,墨田区,業平2-16-4 ホーユウコンフォルト隅田公園1階,03-5637-7770,https://beauty.hotpepper.jp/slnH000376328/,
Vita,130-0002,東京都,墨田区,業平2−16−12 メゾンクレール1階,03-6658-8894,https://beauty.hotpepper.jp/slnH000412054/,
Viii錦糸町店,130-0013,東京都,墨田区,錦糸2-4-10 ナカズビル5F,03-5819-2115,http://viii.salon/kinshicho/,有
shalu 錦糸町店,130-0013,東京都,墨田区,錦糸2-14-7 ヘクセンハウスビル1F,03-6240-4741,https://beauty.hotpepper.jp/slnH000245404/,無
Alushe錦糸町店,130-0013,東京都,墨田区,錦糸2-4-10 2F,03-5610-0450,http://alushe.tokyo/,
Rounds,130-0013,東京都,墨田区,錦糸4-11-7 Tzビル錦糸公園 1階,03-5809-7123,https://beauty.hotpepper.jp/slnH000333207/,
Agate,130-0013,東京都,墨田区,錦糸3-8-7 水嶋ビル 3階,03-6658-4343,https://beauty.hotpepper.jp/slnH000398168/,
HANAGATA 錦糸町店(ハナガタキンシチョウテン),130-0013,東京都,墨田区,錦糸1−4−14 長嶋ビル2F,03-3621-0401,http://www.im-hanagata.com,
ＲＯＭＡＮＣＥ ＨＥＡＲＴ,130-0013,東京都,墨田区,錦糸２丁目９−２ 川井邸,03-5637-7794,https://beauty.hotpepper.jp/slnH000418407/,
prize錦糸町店,130-0013,東京都,墨田区,錦糸3-5-1　錦糸町北口ビル1F,03-5819-3966,https://www.prize-hair.com/,
グランアージュ錦糸町店,130-0013,東京都,墨田区,錦糸3-11-1 KOWA II BLDG 7階,03-5637-7779,http://www.ateliermai.or.tv/,
Conforto,130-0022,東京都,墨田区,区 江東橋4-29-13 メアリヒト錦糸町ビル 1階,03-6659-3323,https://beauty.hotpepper.jp/slnH000363424/,
indivi hair 菊川店(インディヴィヘア),130-0024,東京都,墨田区,菊川2−6−15,03-6659-2746,http://indexhair.com/hairsalon/indivi/index.html,
Laciel 両国店,130-0026,東京都,墨田区,両国2-17-11,03-3632-3656,http://tvginfo.co.jp/,
RIZE HAIR NIGO,131-0032,東京都,墨田区,東向島2-28-2 ベルヴェークビル2F,03-6657-0825,,
Fuse 曳舟店,131-0046,東京都,墨田区,京島3-4-1田中ビル1F,03-5630-6848,http://tvginfo.co.jp/,
瑞江Ash,132-0014,東京都,江戸川区,東瑞江1-26-9 アイジーティービル1F,03-3698-5400,https://ash-hair.com/,
i feel 瑞江店,132-0015,東京都,江戸川区,瑞江4-44-18,03-3677-0258,http://www.ifeel.jp/,
i feel calm 一之江店,132-0024,東京都,江戸川区,一之江8-17-12 エコパレス2F,03-5662-7877,http://www.ifeel.jp/,
Louvre,132-0025,東京都,江戸川区,松江5-1-26 ハヤオビル101,03-6663-9795,http://louvre1009.com/,
新小岩Ash,132-0031,東京都,江戸川区,松島3丁目14-4,03-3657-6120,https://ash-hair.com/,
Alushe平井店,132-0035,東京都,江戸川区,平井3-22-18 2F,03-5627-8322,http://alushe.tokyo/,
grandage 小岩,133-0051,東京都,江戸川区,北小岩2−6−9−1F,03-5876-8636,,無
vivace,133-0057,東京都,江戸川区,西小岩1丁目27−29,03-6458-0070,http://www.vivace-koiwa.com/,
小岩Ash,133-0057,東京都,江戸川区,西小岩1-22-1 小岩東総ハイツ1F,03-3657-6120,https://ash-hair.com/,
HAIR RESORT VITA,133-0057,東京都,江戸川区,西小岩1-26-5-2F,0573-67-7504,http://agu-hair.luna.weblife.me/pg99.html,
i feel rose 篠崎店,133-0061,東京都,江戸川区,篠崎町7-26-11,03-6638-9236,http://www.ifeel.jp/,
オレンジポップ葛西店,134-0083,東京都,江戸川区,中葛西3丁目35-15サン葛西須賀ビル1F,03-5675-3349,www.orangepop.net,
COUPE葛西店,134-0084,東京都,江戸川区,東葛西6-5-9 1F,03-5674-4569,https://coupe-hair.jp/,
HACO,134-0088,東京都,江戸川区,西葛西6-18-3 KIRAKUⅡ 地下1F,03-6808-7401,http://haco-salon.com/,有
cocochi西葛西店(K),134-0088,東京都,江戸川区西葛西3-9-19 イオン西葛西3-9-19 イオン葛西店2F,,03-6663-9498,https://the-kid.co.jp,
オレンジポップ船堀店,134-0091,東京都,江戸川区,江戸川区船堀3丁目5-7 TOKIビル3F,03-3689-6145,www.orangepop.net,
COUPE船堀店,134-0091,東京都,江戸川区,船堀4-3-9 1F,03-5675-5206,https://coupe-hair.jp/,
rivegauche清澄白河店,135-0005,東京都,江東区,高橋2-1,03-5624-2346,http://indexhair.com/hairsalon/kiyosumishirakawa.html,
in'dex hair 東陽町店(インデックスヘア),135-0016,東京都,江東区,東陽5−31−21,03-5677-3146,http://indexhair.com/hairsalon/touyoucho.html,
HOUSE OF in'dex hair 門仲イースト(ハウスオブインデックスヘア),135-0047,東京都,江東区,富岡1-26-17,03-5621-7046,http://indexhair.com/hairsalon/house/index.html,
Cloe門前仲町,135-0048,東京都,江東区,門前仲町1-10-1,03-6458-8782,https://beauty.hotpepper.jp/bsln00192/,
HANAGATA門前仲町店 (ハナガタモンゼンナカチョウテン),135-0048,東京都,江東区,門前仲町2-2-10 楽陽ビル1F,03-5621-4767,www.im-hanagata.com,
オレンジポップ豊洲店,135-0061,東京都,江東区,豊洲3丁目スーパービバホーム豊洲2F専門店街,03-5548-2345,www.orangepop.net,
ヘアー&メイク ピュアウォーター 東雲店,135-0062,東京都,江東区東雲1-9-10 イオン東雲SC2F,,03-6221-3459,https://the-kid.co.jp,
Vovs亀戸店,136-0071,東京都,江東区,亀戸2-20-7 百萬両ビル7F,03-3682-2092,http://vovs.cep-hd.jp/kameido/,無
プログレス,136-0071,東京都,江東区,亀戸1−40−7 アイウェイステリア1階,03-3638-3638,https://beauty.hotpepper.jp/slnH000228966/,
モンクール,136-0071,東京都,江東区,亀戸1丁目1−40−6 第一YSビル,03-5875-4455,https://beauty.hotpepper.jp/slnH000254281/,
亀戸Ash,136-0071,東京都,江東区,亀戸4丁目18番4号 亀戸メディカルビル1F,03-5609-8609,https://ash-hair.com/,
亀戸東口Ash,136-0071,東京都,江東区,亀戸6-57-22 平塚ビル1階101号,03-3681-7707,https://ash-hair.com/,
インデックスPLUS西大島店,136-0072,東京都,江東区,大島2-19-11,03-5627-7646,http://indexhair.com/hairsalon/plus/index.html,
インデックスヘアTIME北砂店,136-0073,東京都,江東区,北砂2-13-13,03-5665-3946,http://indexhair.com/hairsalon/time/index.html,
Atelier JD Paris 北砂店,136-0073,東京都,江東区,北砂1-14-6M･ウメハラ1F,03-5606-8636,http://www.atelierjdparis.com,
Atelier JD Paris 南砂店,136-0076,東京都,江東区,南砂6-8-16第五福原マンション1F,03−5653-3393,http://www.atelierjdparis.com,
HANAGATA トピレック店(ハナガタトピレックテン),136-0076,東京都,江東区,南砂6−7−15 トピレックプラザ西館2F,03-5634-7071,http://www.im-hanagata.com,
Hair&Nail Guarendo 大森,140-0013,東京都,品川区,南大井6-17-16 パークウィンビル1F,03-6410-8128,http://aquafeel-group.co.jp/shop/g_omori/,無
